Frequency,Contrast,Effort
50,1.9511,-6.1071
100,5.1193,-5.0872
150,8.6868,-5.4299
200,11.9789,-6.2136
250,14.7793,-7.0346
300,17.0262,-7.7565
350,18.7223,-8.3416
400,19.9331,-8.7875
450,20.7827,-9.1047
500,21.4255,-9.3095
550,22.0136,-9.4208
600,22.6822,-9.4591
650,23.5490,-9.4458
700,24.7190,-9.4021
750,26.2784,-9.3470
800,28.2401,-9.2953
850,30.3091,-9.2563
900,31.4265,-9.2332
950,30.6882,-9.2246
1000,29.0537,-9.2255
1050,27.5604,-9.2300
1100,26.5055,-9.2323
1150,25.9117,-9.2288
1200,25.7541,-9.2176
1250,26.0149,-9.1991
1300,26.6918,-9.1750
1350,27.7956,-9.1477
1400,29.3349,-9.1192
1450,31.2532,-9.0908
1500,33.2103,-9.0630
1550,34.2591,-9.0355
1600,33.6814,-9.0076
1650,32.2654,-8.9787
1700,30.9216,-8.9485
1750,29.9587,-8.9171
1800,29.4202,-8.8849
1850,29.2862,-8.8524
1900,29.5273,-8.8202
1950,30.1097,-8.7886
2000,30.9826,-8.7574
2050,32.0494,-8.7260
2100,33.1225,-8.6938
2150,33.9115,-8.6599
2200,34.1631,-8.6238
2250,33.8968,-8.5855
2300,33.3751,-8.5452
2350,32.8584,-8.5037
2400,32.4918,-8.4618
2450,32.3254,-8.4205
2500,32.3527,-8.3804
2550,32.5319,-8.3415
2600,32.7975,-8.3037
2650,33.0745,-8.2664
2700,33.3002,-8.2286
2750,33.4487,-8.1896
2800,33.5392,-8.1490
2850,33.6201,-8.1067
2900,33.7414,-8.0629
2950,33.9313,-8.0181
3000,34.1802,-7.9732
3050,34.4347,-7.9287
3100,34.6063,-7.8851
3150,34.6095,-7.8426
3200,34.4164,-7.8009
3250,34.0828,-7.7596
3300,33.7165,-7.7182
3350,33.4267,-7.6763
3400,33.2949,-7.6337
3450,33.3703,-7.5903
3500,33.6698,-7.5464
3550,34.1716,-7.5023
3600,34.7937,-7.4584
3650,35.3679,-7.4150
3700,35.6608,-7.3722
3750,35.5112,-7.3299
3800,34.9796,-7.2879
3850,34.2885,-7.2461
3900,33.6520,-7.2042
3950,33.2032,-7.1624
4000,33.0061,-7.1206
4050,33.0783,-7.0792
4100,33.3952,-7.0383
4150,33.8776,-6.9980
4200,34.3743,-6.9583
4250,34.6847,-6.9190
4300,34.6652,-6.8796
4350,34.3472,-6.8400
4400,33.9063,-6.8003
4450,33.5294,-6.7607
4500,33.3240,-6.7218
4550,33.2638,-6.6845
4600,33.1097,-6.6490
4650,32.4270,-6.6150
4700,30.9990,-6.5808
4750,29.1392,-6.5431
4800,27.2794,-6.4976
4850,25.6425,-6.4397
4900,24.2855,-6.3661
4950,23.1961,-6.2745
5000,22.3389,-6.1650
5050,21.6703,-6.0392
5100,21.1402,-5.9004
5150,20.6918,-5.7528
5200,20.2649,-5.6004
5250,19.8042,-5.4467
5300,19.2702,-5.2939
5350,18.6455,-5.1428
5400,17.9342,-4.9932
5450,17.1534,-4.8442
5500,16.3237,-4.6943
5550,15.4624,-4.5420
5600,14.5806,-4.3856
5650,13.6827,-4.2235
5700,12.7677,-4.0547
5750,11.8299,-3.8790
5800,10.8609,-3.6987
5850,9.8513,-3.5203
5900,8.7913,-3.3583
5950,7.6705,-3.2430
6000,6.4647,-3.2374
6050,5.0963,-3.4739
6100,3.5550,-4.0728
6150,2.4613,-4.6073
6200,2.0620,-4.7631
6250,2.0320,-4.7225
6300,2.2299,-4.5581
6350,2.8046,-4.1583
6400,4.3319,-3.4086
6450,6.1559,-3.0763
6500,7.4856,-3.1626
6550,8.6118,-3.3551
6600,9.6691,-3.5645
6650,10.6975,-3.7648
6700,11.7098,-3.9479
6750,12.7060,-4.1120
6800,13.6768,-4.2580
6850,14.6051,-4.3874
6900,15.4691,-4.5019
6950,16.2476,-4.6033
7000,16.9275,-4.6928
7050,17.5106,-4.7717
7100,18.0167,-4.8412
7150,18.4795,-4.9019
7200,18.9393,-4.9544
7250,19.4367,-4.9983
7300,20.0077,-5.0329
7350,20.6785,-5.0572
7400,21.4547,-5.0702
7450,22.3019,-5.0719
7500,23.1212,-5.0633
7550,23.7506,-5.0463
7600,24.0434,-5.0238
7650,23.9983,-4.9986
7700,23.7765,-4.9734
7750,23.5719,-4.9506
7800,23.5053,-4.9320
7850,23.6127,-4.9189
7900,23.8784,-4.9119
7950,24.2680,-4.9112
