Frequency,Contrast,Effort
50,4.4787,-6.1212
100,7.2872,-5.1119
150,10.3284,-5.4586
200,12.9908,-6.2411
250,15.1449,-7.0580
300,16.8364,-7.7739
350,18.1623,-8.3505
400,19.2290,-8.7839
450,20.1385,-9.0823
500,20.9826,-9.2589
550,21.8394,-9.3302
600,22.7668,-9.3155
650,23.7886,-9.2372
700,24.8716,-9.1182
750,25.8981,-8.9790
800,26.6747,-8.8344
850,27.0401,-8.6925
900,27.0130,-8.5548
950,26.7724,-8.4191
1000,26.5015,-8.2817
1050,26.2937,-8.1400
1100,26.1499,-7.9940
1150,26.0093,-7.8457
1200,25.7917,-7.6981
1250,25.4498,-7.5541
1300,25.0040,-7.4151
1350,24.5316,-7.2804
1400,24.1281,-7.1482
1450,23.8758,-7.0160
1500,23.8336,-6.8821
1550,24.0389,-6.7464
1600,24.5095,-6.6106
1650,25.2374,-6.4777
1700,26.1651,-6.3513
1750,27.1365,-6.2342
1800,27.8523,-6.1278
1850,27.9814,-6.0319
1900,27.4752,-5.9450
1950,26.6248,-5.8648
2000,25.7553,-5.7891
2050,25.0552,-5.7163
2100,24.6018,-5.6459
2150,24.4161,-5.5783
2200,24.4926,-5.5147
2250,24.8085,-5.4562
2300,25.3213,-5.4034
2350,25.9596,-5.3558
2400,26.6102,-5.3122
2450,27.1228,-5.2703
2500,27.3575,-5.2282
2550,27.2670,-5.1844
2600,26.9265,-5.1382
2650,26.4730,-5.0902
2700,26.0274,-5.0418
2750,25.6645,-4.9946
2800,25.4176,-4.9500
2850,25.2915,-4.9084
2900,25.2721,-4.8690
2950,25.3321,-4.8303
3000,25.4342,-4.7901
3050,25.5344,-4.7466
3100,25.5884,-4.6984
3150,25.5614,-4.6456
3200,25.4393,-4.5891
3250,25.2340,-4.5303
3300,24.9790,-4.4708
3350,24.7180,-4.4114
3400,24.4922,-4.3519
3450,24.3321,-4.2913
3500,24.2521,-4.2278
3550,24.2468,-4.1600
3600,24.2872,-4.0874
3650,24.3204,-4.0109
3700,24.2770,-3.9329
3750,24.0956,-3.8565
3800,23.7544,-3.7847
3850,23.2871,-3.7194
3900,22.7669,-3.6609
3950,22.2758,-3.6073
4000,21.8833,-3.5552
4050,21.6390,-3.5007
4100,21.5723,-3.4407
4150,21.6904,-3.3739
4200,21.9692,-3.3021
4250,22.3342,-3.2297
4300,22.6425,-3.1628
4350,22.7013,-3.1067
4400,22.3656,-3.0647
4450,21.6471,-3.0370
4500,20.6907,-3.0217
4550,19.6562,-3.0156
4600,18.6512,-3.0162
4650,17.7317,-3.0226
4700,16.9250,-3.0354
4750,16.2462,-3.0565
4800,15.7076,-3.0869
4850,15.3211,-3.1254
4900,15.0972,-3.1668
4950,15.0400,-3.2022
5000,15.1408,-3.2214
5050,15.3693,-3.2160
5100,15.6648,-3.1830
5150,15.9317,-3.1247
5200,16.0485,-3.0474
5250,15.9043,-2.9604
5300,15.4517,-2.8742
5350,14.7322,-2.8012
5400,13.8494,-2.7539
5450,12.9215,-2.7429
5500,12.0499,-2.7723
5550,11.3086,-2.8352
5600,10.7398,-2.9138
5650,10.3524,-2.9850
5700,10.1240,-3.0296
5750,10.0071,-3.0376
5800,9.9387,-3.0067
5850,9.8509,-2.9393
5900,9.6821,-2.8408
5950,9.3919,-2.7189
6000,8.9772,-2.5845
6050,8.4825,-2.4504
6100,7.9963,-2.3314
6150,7.6286,-2.2437
6200,7.4691,-2.2059
6250,7.5356,-2.2334
6300,7.7406,-2.3279
6350,7.9192,-2.4721
6400,7.9191,-2.6336
6450,7.6789,-2.7764
6500,7.2273,-2.8695
6550,6.6320,-2.8925
6600,5.9617,-2.8383
6650,5.2783,-2.7149
6700,4.6422,-2.5468
6750,4.1185,-2.3743
6800,3.7762,-2.2465
6850,3.6794,-2.2062
6900,3.8736,-2.2717
6950,4.3725,-2.4307
7000,5.1509,-2.6494
7050,6.1452,-2.8880
7100,7.2578,-3.1141
7150,8.3606,-3.3072
7200,9.3068,-3.4583
7250,9.9639,-3.5669
7300,10.2677,-3.6366
7350,10.2490,-3.6722
7400,10.0021,-3.6775
7450,9.6294,-3.6551
7500,9.2074,-3.6068
7550,8.7817,-3.5352
7600,8.3726,-3.4462
7650,7.9842,-3.3502
7700,7.6109,-3.2621
7750,7.2460,-3.1984
7800,6.8890,-3.1731
7850,6.5511,-3.1928
7900,6.2565,-3.2557
7950,6.0389,-3.3506
