Frequency,Contrast,Effort,Planarity
100,30.8867,-15.2585,10.3657
150,37.6822,-16.8588,6.8319
200,39.0913,-17.5065,3.9037
250,43.0655,-17.0914,2.8185
300,43.6678,-16.8497,2.8280
350,39.0305,-16.8163,3.6958
400,40.8142,-16.6473,5.1274
450,43.7766,-16.4313,7.1453
500,43.5180,-16.0208,8.1187
550,42.8149,-15.6239,9.7208
600,40.2877,-15.3503,12.5449
650,40.6336,-14.9033,16.0334
700,42.9665,-14.3600,20.6746
750,40.5539,-13.8665,26.8672
800,39.5342,-13.4008,35.7227
850,51.7853,-13.4282,5.1840
900,52.6636,-13.5725,5.6718
950,55.1090,-13.6614,6.2133
1000,53.4925,-13.7076,6.5014
1050,52.1052,-13.7085,7.5423
1100,54.1972,-13.6613,8.3820
1150,55.2344,-13.5711,9.4001
1200,53.7241,-13.4396,11.0941
1250,53.4888,-13.2704,13.2287
1300,53.3245,-13.0669,16.0205
1350,53.2252,-12.8351,20.3942
1400,52.1548,-12.5947,26.2244
1450,51.0705,-12.3778,33.7063
1500,50.1615,-12.2268,38.7693
1550,48.4145,-12.1561,39.4256
1600,48.6873,-12.1287,38.3191
1650,49.4071,-12.1095,36.7517
1700,49.1111,-12.0777,35.4041
1750,48.7954,-12.0276,35.3623
1800,48.3216,-11.9561,35.9756
1850,48.7387,-11.8561,37.2996
1900,49.1203,-11.7328,39.3682
1950,48.0126,-11.5939,42.2295
2000,47.5654,-11.4441,45.8179
2050,47.3209,-11.2972,49.6747
2100,46.6099,-11.1729,52.6321
2150,46.2272,-11.0846,53.9079
2200,46.0505,-11.0270,52.5833
2250,45.8803,-10.9863,50.6686
2300,45.3123,-10.9507,48.5813
2350,45.4277,-10.9041,47.7855
2400,46.0241,-10.8420,47.3321
2450,45.4349,-10.7678,48.1489
2500,44.8469,-10.6793,49.2245
2550,44.8474,-10.5774,51.4509
2600,44.9863,-10.4686,53.8179
2650,45.2522,-10.3654,56.7323
2700,43.9533,-10.2788,58.8890
2750,41.4230,-10.1990,59.8131
2800,39.9493,-10.1083,60.9026
2850,40.5590,-10.0083,61.2271
2900,42.4187,-9.9242,62.1078
2950,41.6853,-9.8574,63.3294
3000,39.8207,-9.7778,63.9804
3050,39.2204,-9.6745,64.1618
