Frequency,Contrast,Effort,Planarity
100,10.8150,-18.4809,28.0213
150,14.5557,-18.3946,28.8231
200,8.4099,-18.2733,29.4213
250,10.7403,-18.1164,30.0709
300,17.8101,-17.9236,30.8525
350,12.0426,-17.6939,31.8265
400,11.2912,-17.4268,33.0627
450,14.7720,-17.1214,34.6552
500,14.1880,-16.7771,36.7416
550,12.5148,-16.3941,39.5329
600,13.3261,-15.9737,43.3600
650,13.4724,-15.5205,48.7380
700,13.1756,-15.0472,56.3521
750,12.7674,-14.5865,66.3666
800,12.0284,-14.2082,75.3712
850,11.2821,-13.9887,76.0376
900,9.7364,-13.9061,70.0099
950,11.0004,-13.8789,63.7509
1000,12.0592,-13.8547,59.2466
1050,9.7529,-13.8101,56.3890
1100,10.1767,-13.7354,54.8211
1150,12.5530,-13.6264,54.3038
1200,10.8808,-13.4821,54.7385
1250,9.9696,-13.3032,56.1474
1300,11.4888,-13.0931,58.6451
1350,11.4352,-12.8592,62.3479
1400,10.5325,-12.6179,67.0041
1450,10.8551,-12.4013,70.8204
1500,10.7995,-12.2519,70.0011
1550,28.8228,-12.1822,40.4395
1600,28.6573,-12.1562,39.3227
1650,28.0870,-12.1378,37.8074
1700,28.1326,-12.1079,37.0466
1750,28.4010,-12.0576,37.0463
1800,28.2188,-11.9834,37.2247
1850,28.0637,-11.8849,38.6615
1900,28.0050,-11.7640,40.8586
1950,27.7951,-11.6251,43.8714
2000,27.4464,-11.4772,47.6177
2050,26.9059,-11.3343,52.1697
2100,26.3101,-11.2147,54.9991
2150,25.6960,-11.1303,55.5039
2200,11.0322,-11.0770,63.1642
2250,11.4733,-11.0391,60.3154
2300,11.4029,-11.0018,58.0689
2350,11.1924,-10.9559,56.7604
2400,11.3807,-10.8966,56.4166
2450,11.4108,-10.8224,56.9910
2500,11.4280,-10.7343,58.4253
2550,11.4222,-10.6357,60.6157
2600,11.2863,-10.5322,63.3057
2650,11.3851,-10.4320,65.9424
2700,11.3535,-10.3435,67.7016
2750,11.1892,-10.2720,67.9729
2800,11.1681,-10.2161,66.9305
2850,11.2119,-10.1692,65.3375
2900,11.6156,-10.1235,63.9074
2950,11.5079,-10.0735,63.0330
3000,10.1665,-10.0159,62.8579
3050,9.0654,-9.9499,63.3917
3100,13.6127,-9.8764,60.2733
3150,13.2098,-9.7981,61.8040
3200,12.6314,-9.7191,63.9126
3250,12.2307,-9.6439,65.3800
3300,11.8805,-9.5761,66.6282
3350,11.2425,-9.5169,66.6809
3400,10.6152,-9.4645,66.1357
3450,10.4859,-9.4153,65.7640
3500,10.8670,-9.3656,65.1536
3550,11.3865,-9.3126,64.9134
3600,11.7035,-9.2551,65.1300
3650,11.7907,-9.1932,65.7867
3700,11.8098,-9.1285,66.7790
3750,11.8790,-9.0629,67.9211
3800,11.8811,-8.9992,68.9684
3850,11.5880,-8.9392,69.6886
3900,11.1435,-8.8837,69.5590
3950,10.9320,-8.8321,69.4581
4000,11.0727,-8.7826,69.1760
4050,11.3750,-8.7330,68.9356
4100,11.5751,-8.6819,68.9034
4150,11.5955,-8.6283,71.8008
4200,11.5950,-8.5724,72.5959
4250,11.7050,-8.5152,73.3731
4300,7.0836,-8.4579,75.1875
4350,6.9835,-8.4021,75.9620
4400,7.0028,-8.3487,76.5114
4450,7.1657,-8.2979,76.7876
4500,7.3558,-8.2492,70.3780
4550,7.5519,-8.2015,70.3628
