Frequency,Contrast,Effort,Planarity
100,29.0900,-8.4144,47.3075
150,36.4348,-11.8584,69.6636
200,39.4784,-13.0158,80.8891
250,44.0797,-13.2890,84.3366
300,45.1540,-13.1389,85.1677
350,45.7335,-12.8343,85.8189
400,50.3859,-12.4712,87.7107
450,50.6682,-12.1501,90.3150
500,47.8941,-11.9055,91.9047
550,45.8655,-11.5371,91.8164
600,44.7891,-11.1415,90.9975
650,47.8402,-10.8265,90.4500
700,50.6233,-10.5463,90.6609
750,47.8721,-10.2985,91.6229
800,48.3977,-10.0455,92.6865
850,49.6341,-9.8123,93.4097
900,50.7968,-9.6444,93.7380
950,52.1238,-9.5254,93.7267
1000,51.4605,-9.4313,93.5997
1050,51.9995,-9.3506,93.6542
1100,53.5003,-9.2736,94.0014
1150,52.2288,-9.1899,94.5609
1200,51.3208,-9.0942,95.1291
1250,52.3371,-8.9884,95.5129
1300,52.5652,-8.8841,95.6329
1350,51.6557,-8.7811,95.5737
1400,50.5774,-8.6685,95.4761
1450,50.2794,-8.5489,95.4630
1500,52.1860,-8.4255,95.5971
1550,52.9926,-8.2993,95.8504
1600,51.6569,-8.1751,96.1379
1650,52.1565,-8.0536,96.3516
1700,53.3551,-7.9393,96.4544
1750,54.1935,-7.8382,96.4790
1800,55.0523,-7.7498,96.4705
1850,55.6691,-7.6710,96.4871
1900,56.4989,-7.5975,96.5744
1950,56.5365,-7.5279,96.7349
2000,55.9856,-7.4617,96.9316
2050,56.1433,-7.3974,97.1140
2100,56.0266,-7.3355,97.2430
2150,54.7990,-7.2752,97.3062
2200,54.0907,-7.2152,97.3264
2250,53.7428,-7.1558,97.3379
2300,53.6588,-7.0957,97.3698
2350,54.3892,-7.0335,97.4391
2400,53.5617,-6.9698,97.5301
2450,51.5134,-6.9038,97.6375
2500,50.0575,-6.8354,97.7272
2550,48.1253,-6.7685,97.7860
2600,45.0173,-6.7135,97.8198
2650,41.5084,-6.6784,97.8509
2700,38.4595,-6.6551,97.8762
2750,36.1432,-6.6177,97.9064
2800,34.4618,-6.5393,97.9134
2850,33.1904,-6.4079,97.8505
2900,32.0394,-6.2299,97.7019
2950,30.7205,-6.0308,97.4934
3000,29.1768,-5.8579,97.3129
3050,27.6429,-5.7477,97.0681
3100,26.3250,-5.6695,96.6532
3150,25.1847,-5.5235,95.9711
3200,24.0258,-5.2187,95.0641
3250,22.6896,-4.7463,94.0894
3300,21.1755,-4.1678,93.0609
3350,19.5806,-3.5335,91.8719
3400,17.9921,-2.8517,90.9320
3450,16.4946,-2.1380,90.2693
3500,15.1419,-1.3632,89.5599
3550,13.9748,-0.4550,87.6832
3600,13.4365,0.2355,84.6126
3650,14.2384,-0.0220,87.2317
3700,16.0429,-1.0534,88.8336
3750,17.9309,-2.1573,90.7204
3800,19.5020,-3.0476,92.6004
3850,20.7434,-3.6895,93.9875
3900,21.7348,-4.1085,94.9041
3950,22.5665,-4.3569,95.4434
4000,23.3435,-4.4969,95.7271
4050,24.1641,-4.5914,96.0414
4100,25.0862,-4.6963,96.2259
4150,26.1091,-4.8395,96.4091
4200,27.1879,-5.0097,96.5822
4250,28.2636,-5.1757,96.7267
4300,29.2528,-5.3101,96.8351
4350,30.0508,-5.3958,96.9238
4400,30.6383,-5.4241,97.1890
4450,31.1380,-5.3955,97.2717
4500,31.6894,-5.3219,97.3285
