Frequency,Contrast,Effort,Planarity
100,24.7483,-13.3813,63.8314
150,30.6859,-13.2426,65.3899
200,35.4412,-13.6928,74.1933
250,39.7759,-13.4230,82.2336
300,44.4035,-13.0982,85.4958
350,44.9996,-12.7327,86.6390
400,46.8634,-12.3795,86.5219
450,44.9355,-12.0998,86.5014
500,43.0992,-11.8689,87.3651
550,42.7499,-11.6745,88.6164
600,42.4902,-11.4882,90.1438
650,44.9165,-11.2619,91.5103
700,46.4511,-11.0411,92.3863
750,42.8827,-10.8525,92.8188
800,43.0344,-10.6743,92.9343
850,45.4197,-10.5163,92.9426
900,46.7128,-10.3714,93.1724
950,47.7792,-10.2409,93.4696
1000,47.2469,-10.1335,93.7280
1050,47.5484,-10.0259,94.0067
1100,50.0448,-9.9111,94.2394
1150,51.0816,-9.7950,94.4035
1200,50.5996,-9.6802,94.5111
1250,50.8790,-9.5703,94.5911
1300,50.3183,-9.4650,94.7355
1350,49.0658,-9.3576,94.9780
1400,48.4200,-9.2429,95.2809
1450,48.3806,-9.1228,95.6076
1500,49.0574,-9.0017,95.9054
1550,48.6633,-8.8849,96.1306
1600,47.2165,-8.7744,96.2800
1650,47.5385,-8.6684,96.3623
1700,48.9235,-8.5685,96.4092
1750,49.3048,-8.4757,96.4654
1800,49.4921,-8.3900,96.5221
1850,49.6569,-8.3111,96.5791
1900,50.5649,-8.2349,96.6517
1950,52.5959,-8.1600,96.7220
2000,53.1463,-8.0868,96.7959
2050,52.7607,-8.0137,96.8646
2100,52.8802,-7.9394,96.9310
2150,52.4822,-7.8634,97.0089
2200,51.9793,-7.7860,97.1053
2250,51.5799,-7.7075,97.2111
2300,50.8449,-7.6288,97.3220
2350,50.6238,-7.5506,97.4373
2400,50.4989,-7.4735,97.5416
2450,49.9344,-7.3986,97.6220
2500,49.8912,-7.3256,97.6799
2550,48.5913,-7.2549,97.7179
2600,45.4566,-7.1855,97.7417
2650,42.3234,-7.1136,97.7540
2700,39.2248,-7.0352,97.7526
2750,36.1004,-6.9431,97.7130
2800,33.0786,-6.8214,97.6268
2850,30.1956,-6.6432,97.4788
2900,27.4046,-6.3725,97.2194
2950,24.6230,-5.9778,96.6600
3000,21.7938,-5.4628,95.7056
3050,18.9591,-4.8949,94.5169
3100,16.2801,-4.4004,93.4989
3150,13.9635,-4.0776,92.8724
3200,12.1069,-3.8476,92.3598
3250,10.5887,-3.4709,91.4672
3300,9.1837,-2.7938,90.9379
3350,7.8359,-1.8456,90.8371
3400,6.7762,-0.7957,90.5052
3450,6.2568,-0.0234,89.4878
3500,6.1981,0.1280,88.6710
3550,6.3097,-0.3155,88.3377
3600,6.4050,-1.1371,88.1365
3650,6.4617,-2.0715,88.4162
3700,6.5548,-2.7398,89.4326
3750,6.7680,-2.8716,90.7946
3800,7.1253,-2.6710,91.6482
3850,7.5821,-2.5496,91.9909
3900,8.0647,-2.7065,92.5836
3950,8.5370,-3.0805,93.5239
4000,9.0364,-3.5009,94.6012
4050,9.6262,-3.8691,95.4780
4100,10.3181,-4.2336,95.8358
4150,11.0584,-4.6603,95.9910
4200,11.8000,-5.0672,96.1751
4250,12.5650,-5.2870,96.4178
4300,13.4147,-5.2751,96.5955
4350,14.3888,-5.1492,96.6876
4400,15.4724,-5.0428,96.9055
4450,16.6092,-5.0024,97.1884
4500,17.7725,-4.9967,97.4363
4550,19.0197,-4.9862,97.7813
4600,20.4227,-4.9707,97.8988
4650,21.9731,-4.9620,97.9925
4700,23.6000,-4.9551,97.9319
4750,25.2474,-4.9377,97.9047
4800,26.9117,-4.9054,97.8247
4850,28.6394,-4.8658,97.6808
4900,30.3229,-4.8295,97.4707
4950,31.4999,-4.7993,97.2223
5000,31.9344,-4.7720,96.9825
5050,32.2269,-4.7445,96.7734
5100,32.6864,-4.7182,96.5578
5150,32.9858,-4.6965,96.3116
5200,33.1063,-4.6803,96.0862
5250,33.3272,-4.6716,95.8974
5300,33.6364,-4.6722,95.7071
5350,34.1566,-4.6779,95.4822
5400,34.8289,-4.6885,95.2094
5450,35.4678,-4.7079,94.9014
5500,36.2359,-4.7338,94.5758
5550,37.1205,-4.7616,94.2110
5600,36.8026,-4.7831,93.8378
5650,35.5882,-4.7819,93.5396
5700,34.3984,-4.7445,93.2696
5750,33.1713,-4.6590,92.9686
5800,31.7649,-4.5434,92.7327
5850,30.4603,-4.4055,92.5904
5900,29.1026,-4.2396,92.2649
5950,27.3908,-4.0672,91.4859
6000,25.1436,-3.8960,90.5671
6050,22.6477,-3.7764,90.3802
6100,20.7857,-3.7272,90.8792
6150,19.6366,-3.6373,90.9503
6200,18.6453,-3.4695,89.9982
6250,17.5142,-3.3207,87.2535
6300,16.6899,-3.2566,82.3855
6350,16.2019,-3.2399,77.7307
6400,15.6004,-3.2712,74.4956
6450,14.6174,-3.3402,70.5696
6500,13.8731,-3.5469,63.7761
6550,13.7517,-3.5259,56.2209
6600,13.0084,-3.2794,57.4243
6650,11.4093,-3.2186,59.6695
